# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9318215380616814,4.58891221896934,0.0,0,0.5,0,180.0,0.0,0.0
 0.22002579808010556,1.9439243760168783,4.58891221896934,0.0,0.11001289904005276,0.49999999999999994,0,180.0,0.0,0.0
 0.3124756115258213,1.9562317900112904,4.58891221896934,0.0,0.15623780576291066,0.5000000000000001,0,180.0,0.0,0.0
 0.38429463788332074,1.9687421302381496,4.58891221896934,0.0,0.19214731894166034,0.4999999999999996,0,180.0,0.0,0.0
 0.44556574746722466,1.981453746890688,4.58891221896934,0.0,0.2227828737336123,0.5,0,180.0,0.0,0.0
 0.5001737782029645,1.9943649901621385,4.58891221896934,0.0,0.25008688910148225,0.5000000000000006,0,180.0,0.0,0.0
 0.5501006169203982,2.007474210245732,4.58891221896934,0.0,0.2750503084601991,0.5,0,180.0,0.0,0.0
 0.5965172898517551,2.020779757334702,4.58891221896934,0.0,0.29825864492587756,0.5,0,180.0,0.0,-6.50898912114189e-13
 0.6401826100749635,2.0342799816222796,4.58891221896934,0.0,0.32009130503748173,0.5,0,179.99999999999997,0.0,6.858836478435075e-13
 0.6816207016809741,2.0479732333016973,4.58891221896934,0.0,0.34081035084048705,0.5,0,180.0,0.0,0.0
 0.7212109941050697,2.061857862566187,4.58891221896934,0.0,0.36060549705253486,0.5,0,180.0,0.0,0.0
 0.7592382539026866,2.0759322196089816,4.58891221896934,0.0,0.37961912695134326,0.49999999999999856,0,180.0,0.0,0.0
 0.7959223996386364,2.0901946546233128,4.58891221896934,0.0,0.39796119981931816,0.5,0,180.0,0.0,0.0
 0.8314372609902215,2.104643517802412,4.58891221896934,0.0,0.4157186304951107,0.5,0,180.0,0.0,-8.241605044223402e-13
 0.8659229094505599,2.119277159339512,4.58891221896934,0.0,0.4329614547252799,0.5,0,179.99999999999997,0.0,8.466111010298487e-13
 0.8994940608278934,2.134093929427845,4.58891221896934,0.0,0.44974703041394665,0.5,0,180.0,0.0,0.0
 0.9322459765511721,2.1490921782606436,4.58891221896934,0.0,0.466122988275586,0.5,0,180.0,0.0,0.0
 0.9642587162571208,2.164270256031139,4.58891221896934,0.0,0.48212935812856034,0.5,0,180.0,0.0,0.0
 0.9956002709338352,2.179626512932563,4.58891221896934,0.0,0.49780013546691754,0.5,0,180.0,0.0,9.249255576744384e-13
 1.0263289162767808,2.1951592991581492,4.58891221896934,0.0,0.5131644581383904,0.5000000000000018,0,180.00000000000003,0.0,-9.421739902691962e-13
 1.0564950105692834,2.210866964901129,4.58891221896934,0.0,0.5282475052846417,0.5,0,180.0,0.0,0.0
 1.0861423889952049,2.226747860354734,4.58891221896934,0.0,0.5430711944976024,0.5,0,180.0,0.0,0.0
 1.1153094595680897,2.2428003357121975,4.58891221896934,0.0,0.5576547297840448,0.5,0,180.0,0.0,0.0
 1.1440300749631882,2.259022741166751,4.58891221896934,0.0,0.5720150374815941,0.5,0,180.0,0.0,-1.0041531260382745e-12
 1.1723342336551372,2.275413426911626,4.58891221896934,0.0,0.5861671168275686,0.5,0,179.99999999999997,0.0,1.018173180522653e-12
 1.2002486493695783,2.2919707431400558,4.58891221896934,0.0,0.6001243246847892,0.5,0,180.0,0.0,1.0316946067628534e-12
 1.2277972177580307,2.308693040045272,4.58891221896934,0.0,0.6138986088790154,0.5,0,180.00000000000003,0.0,0.0
 1.2550014020053126,2.3255786678205066,4.58891221896934,0.0,0.6275007010026563,0.5,0,180.00000000000003,0.0,-2.114777249953397e-12
 1.2818805538696807,2.3426259766589914,4.58891221896934,0.0,0.6409402769348405,0.5000000000000041,0,179.99999999999997,0.0,1.0696261590170118e-12
 1.308452182836313,2.3598333167539596,4.58891221896934,0.0,0.6542260914181566,0.5,0,180.0,0.0,0.0
 1.3347321832292214,2.3771990382986425,4.58891221896934,0.0,0.6673660916146108,0.5,0,180.0,0.0,0.0
 1.3607350269976755,2.3947214914862727,4.58891221896934,0.0,0.6803675134988378,0.5,0,180.0,0.0,0.0
 1.3864739282776295,2.412399026510082,4.58891221896934,0.0,0.6932369641388149,0.5,0,180.0,0.0,0.0
 1.4119609845907513,2.4302299935633025,4.58891221896934,0.0,0.7059804922953757,0.5,0,180.0,0.0,0.0
 1.4372072985863735,2.448212742839167,4.58891221896934,0.0,0.7186036492931869,0.5,0,180.0,0.0,0.0
 1.4622230834851768,2.466345624530906,4.58891221896934,0.0,0.7311115417425885,0.5,0,180.0,0.0,0.0
 1.4870177547965893,2.484626988831754,4.58891221896934,0.0,0.7435088773982947,0.5,0,180.0,0.0,0.0
 1.5116000104171208,2.5030551859349415,4.58891221896934,0.0,0.7558000052085605,0.5,0,180.0,0.0,0.0
 1.5359779008462575,2.5216285660337006,4.58891221896934,0.0,0.7679889504231289,0.5,0,180.0,0.0,0.0
 1.5601588909589723,2.5403454793212643,4.58891221896934,0.0,0.7800794454794863,0.5,0,180.0,0.0,0.0
 1.584149914533574,2.559204275990864,4.58891221896934,0.0,0.7920749572667871,0.5,0,180.0,0.0,0.0
 1.6079574225383593,2.5782033062357326,4.58891221896934,0.0,0.8039787112691797,0.5,0,180.0,0.0,0.0
 1.631587426020953,2.5973409202491013,4.58891221896934,0.0,0.8157937130104767,0.5,0,180.0,0.0,0.0
 1.6550455343132064,2.6166154682242033,4.58891221896934,0.0,0.8275227671566033,0.5,0,180.0,0.0,0.0
