# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.8754302058367154,4.8629420481589785,-0.0021862274670038295,0,1.0,-0.0065697977462823975,0.0,0.0,0.0
 0.15430625119735267,2.887335415407339,4.862941593893474,-0.0021862274670038295,0.15430625119735267,1.0,-0.0065697977462823975,0.0,-0.07051340927246565,0.0
 0.2173569849147456,2.899052235195168,4.862940237638208,-0.006632149658547606,0.2173569849147456,1.0,-0.006818132674341989,0.0,-0.09500835765283522,0.0
 0.26514994355576216,2.910582451814139,4.862937989205054,-0.01117288016640047,0.2651499435557622,1.000000000000001,-0.007077371184701013,0.0,-0.11653050194097372,0.0
 0.3049512970290191,2.921927851878191,4.862934858405886,-0.015810951864569215,0.30495129702901913,1.0,-0.007348045240543573,0.0,-0.13679176355735218,0.0
 0.3395880375419754,2.9330902220012596,4.862930855052576,-0.0205489726832149,0.33958803754197553,1.0000000000000016,-0.007630715930261561,0.0,-0.156512605899223,0.0
 0.3705162492927699,2.9440713487972827,4.862925988956998,-0.025389627700134712,0.37051624929277,1.0,-0.007925972290885656,0.0,-0.17608908566674356,0.0
 0.3986046088341088,2.9548730188801975,4.862920269931024,-0.030335681249647837,0.3986046088341089,1.0,-0.008234434141756314,0.0,-0.1957745855302726,0.0
 0.4244215336249222,2.965497018863941,4.862913707786529,-0.03538997900023554,0.4244215336249223,1.0,-0.008556753705582317,0.0,-0.21574917489312068,0.0
 0.4483635538670008,2.975945135362452,4.862906312335384,-0.040555450112738395,0.4483635538670009,1.0,-0.00889362012333943,0.0,-0.2361514756075795,0.0
 0.47072064142717884,2.986219154989666,4.862898093389463,-0.045835109330362306,0.470720641427179,1.0000000000000024,-0.009245757162400893,0.0,-0.25709520929977664,0.0
 0.49171266923073287,2.9963208643595203,4.862889060760639,-0.051232059112143756,0.49171266923073303,1.0,-0.00961392072740498,0.0,-0.2786785829772373,0.0
 0.5115112220446322,3.0062520500859535,4.8628792242607854,-0.05674949175532121,0.5115112220446323,0.9999999999999972,-0.009998910694074296,0.0,-0.30098998756054873,0.0
 0.5302533726883326,3.0160144987829023,4.8628685937017755,-0.062390691444426535,0.5302533726883327,1.0,-0.010401573268885992,0.0,-0.32411166321372137,0.0
 0.5480507726380873,3.0256099970643033,4.8628571788954815,-0.06815903634302134,0.5480507726380874,1.0,-0.01082278709125932,0.0,-0.3481221609487975,0.0
 0.5649958708734661,3.035040331544095,4.8628449896537775,-0.07405800055821106,0.5649958708734663,1.0,-0.011263484443672497,0.0,-0.37309807868195644,0.0
 0.5811662987441056,3.044307288836213,4.862832035788536,-0.08009115612821181,0.5811662987441057,1.0,-0.01172464499521974,0.0,-0.39911531941431866,0.0
 0.5966280423110496,3.0534126555545966,4.86281832711163,-0.08626217485063495,0.5966280423110497,1.0,-0.012207290551832672,0.0,-0.4262500504511275,0.0
 0.6114377889388347,3.062358218313182,4.862803873434934,-0.09257483009789677,0.6114377889388349,1.0000000000000075,-0.012712509094323839,0.0,-0.45457944532107014,0.0
 0.6256446969495447,3.071145763725906,4.86278868457032,-0.0990329984611328,0.6256446969495449,1.0,-0.013241428258914015,0.0,-0.4841822870186948,0.0
 0.6392917530556876,3.079777078406707,4.862772770329659,-0.10564066129767752,0.6392917530556879,1.0,-0.013795239686671916,0.0,-0.5151394612393101,0.0
 0.6524168293926264,3.088253948969521,4.862756140524828,-0.11240190605061294,0.6524168293926266,1.0,-0.014375199165822618,0.0,-0.5475343917762091,0.0
 0.665053517767041,3.096578162028287,4.862738804967698,-0.11932092753376357,0.6650535177670412,1.0,-0.01498261347847076,0.0,-0.5814533940362129,0.0
 0.6772317960724352,3.104751504196941,4.862720773470143,-0.12640202878795262,0.6772317960724354,1.0,-0.015618862866205417,0.0,-0.6169860197752126,0.0
 0.6889785664719156,3.1127757620894205,4.862702055844036,-0.13364962190194127,0.6889785664719158,1.0,-0.01628538622358699,0.0,-0.6542253373647768,0.0
 0.7003180943457975,3.120652722319663,4.862682661901249,-0.14106822835078897,0.7003180943457977,1.0,-0.016983698445306773,0.0,-0.6932682154611822,0.0
 0.7112723695476146,3.1283841715016054,4.862662601453655,-0.14866247917162342,0.7112723695476149,1.0,-0.01771538206607227,0.0,-0.7342155589118863,0.0
 0.7218614061867886,3.1359718962491856,4.862641884313129,-0.156437114625993,0.7218614061867888,1.0,-0.018482093049713554,0.0,-0.7771725497957512,0.0
 0.7321034932954743,3.1434176831763403,4.862620520291543,-0.16439698357948043,0.7321034932954745,1.0,-0.019285563311575556,0.0,-0.8222488399731395,0.0
 0.7420154059003178,3.150723318897007,4.862598519200771,-0.17254704222072811,0.742015405900318,1.0,-0.020127601443237855,0.0,-0.8695587617455575,0.0
 0.7516125839095447,3.1578905900251235,4.862575890852684,-0.18089235244668314,0.7516125839095449,1.0,-0.021010095130146768,0.0,-0.9192214774517854,0.0
 0.7609092846379574,3.164921283174626,4.862552645059156,-0.18943807942568175,0.7609092846379576,1.0,-0.021935014485086567,0.0,-0.9713611455608234,0.0
 0.7699187135850113,3.171817184959453,4.862528791632062,-0.1981894886485409,0.7699187135850115,1.0,-0.022904406863464618,0.0,-1.0261070381845783,0.0
 0.7786531371539932,3.1785800819935406,4.862504340383273,-0.2071519421471585,0.7786531371539934,1.0,-0.02392040443789169,0.0,-1.0835936277525353,0.0
